# set style data lines
# set xrange [0:259]
# set yrange [100:500]
#
# set xlabel "Length"
# set ylabel "Percent bigger"
#
# plot "sizes_out_64bit.tsv" using 1:2 title 'Ss0',
#      "sizes_out_64bit.tsv" using 1:3 title 'Ss1',
#      "sizes_out_64bit.tsv" using 1:4 title 'Ss2',
#      "sizes_out_64bit.tsv" using 1:5 title 'Ss3',
#      "sizes_out_64bit.tsv" using 1:6 title 'Ss4',
#      "sizes_out_64bit.tsv" using 1:7 title 'Ss5',
#      "sizes_out_64bit.tsv" using 1:8 title 'Ss6',
#      "sizes_out_64bit.tsv" using 1:9 title 'Ss7',
#      "sizes_out_64bit.tsv" using 1:10 title 'Ss8',
#      "sizes_out_64bit.tsv" using 1:11 title 'Ss9',
#      "sizes_out_64bit.tsv" using 1:12 title 'strdup',
#      "sizes_out_64bit.tsv" using 1:13 title 'NM_Ss',
#      "sizes_out_64bit.tsv" using 1:14 title 'NM_Ss x2',
#      "sizes_out_64bit.tsv" using 1:15 title 'NM_Ss xSs'
#
# plot "sizes_out_32bit.tsv" using 1:2 title 'Ss0',
#      "sizes_out_32bit.tsv" using 1:3 title 'Ss1',
#      "sizes_out_32bit.tsv" using 1:4 title 'Ss2',
#      "sizes_out_32bit.tsv" using 1:5 title 'Ss3',
#      "sizes_out_32bit.tsv" using 1:6 title 'Ss4',
#      "sizes_out_32bit.tsv" using 1:7 title 'Ss5',
#      "sizes_out_64bit.tsv" using 1:8 title 'Ss6',
#      "sizes_out_64bit.tsv" using 1:9 title 'Ss7',
#      "sizes_out_64bit.tsv" using 1:12 title 'strdup',
#      "sizes_out_64bit.tsv" using 1:13 title 'NM_Ss',
#      "sizes_out_64bit.tsv" using 1:14 title 'NM_Ss x2',
#      "sizes_out_64bit.tsv" using 1:15 title 'NM_Ss xSs'
#
# set xrange [1:59]
# set yrange [100:800]
# replot
#
1	400.00	400.00	500.00	600.00	600.00	600.00	800.00	800.00	0	0	200.00	1700.00	1700.00	1700.00
2	250.00	300.00	300.00	300.00	350.00	400.00	450.00	600.00	0	0	150.00	900.00	900.00	900.00
3	200.00	200.00	233.33	266.67	266.67	266.67	333.33	400.00	0	0	133.33	633.33	666.67	633.33
4	175.00	200.00	200.00	200.00	225.00	300.00	275.00	300.00	0	0	125.00	500.00	500.00	500.00
5	160.00	160.00	180.00	240.00	200.00	240.00	240.00	240.00	0	0	120.00	420.00	480.00	440.00
6	150.00	200.00	166.67	200.00	183.33	200.00	216.67	266.67	0	0	116.67	366.67	400.00	366.67
7	142.86	171.43	157.14	171.43	171.43	171.43	200.00	228.57	0	0	114.29	328.57	342.86	342.86
8	137.50	150.00	150.00	150.00	162.50	200.00	187.50	200.00	0	0	112.50	300.00	300.00	300.00
9	133.33	133.33	144.44	177.78	155.56	177.78	177.78	177.78	0	0	111.11	277.78	355.56	311.11
10	130.00	160.00	140.00	160.00	150.00	160.00	170.00	240.00	0	0	110.00	260.00	320.00	280.00
11	127.27	145.45	136.36	145.45	145.45	145.45	163.64	218.18	0	0	109.09	245.45	290.91	254.55
12	125.00	133.33	133.33	133.33	141.67	200.00	158.33	200.00	0	0	108.33	233.33	266.67	233.33
13	123.08	123.08	130.77	184.62	138.46	184.62	153.85	184.62	0	0	107.69	223.08	246.15	246.15
14	121.43	171.43	128.57	171.43	135.71	171.43	150.00	171.43	0	0	107.14	214.29	228.57	228.57
15	120.00	160.00	126.67	160.00	133.33	160.00	146.67	160.00	0	0	106.67	206.67	213.33	213.33
16	118.75	150.00	125.00	150.00	131.25	150.00	143.75	150.00	0	0	106.25	200.00	200.00	200.00
17	117.65	141.18	123.53	141.18	129.41	141.18	141.18	141.18	0	0	105.88	194.12	282.35	235.29
